№,Название,Сайт,Email,Потенциал
1,"ВетДоктор","https://vetdoctor54.ru/","vetdoctorclinic@ya.ru; vetdoctorclinic.uprav@gmail.com",hot
2,"ВетаКлиник","https://www.vetaclinic.ru/","vetaclinic@yandex.ru",hot
3,"Ноев ковчег","http://kovcheg-nsk.ru/","",warm
4,"Дарвин","https://darvin54.ru/","darvin.clinika@mail.ru",hot
5,"Ветлекарь","https://vet-lekar.ru/","",warm
6,"Друг","http://drug-nsk.ru/","vetpochta@yandex.ru",hot
7,"ИнТерра","https://vet-interra.ru/","",warm
8,"Максивет","https://maxivet.su/","",warm
9,"Пульс","https://vetklinika54.ru/","",analysis_error
10,"Энималз","https://animalz-nsk.ru/","",warm
